scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,1,operational,16,1,-0.20911472208103277,-0.2088617392652008
moderate,1,operational,17,2,0.011139805384341006,0.009328902877398182
moderate,1,operational,18,2,-0.061397823557361786,-0.06173033692111396
moderate,1,operational,19,3,0.10723705497630887,0.10447280689512839
moderate,1,operational,20,2,-0.11911701538999253,-0.11988114904130454
moderate,1,operational,21,3,0.035473463992766074,0.03283485781645901
moderate,1,operational,22,3,-0.03399502780588959,-0.03428267957838704
moderate,1,operational,23,4,0.10887624704336663,0.10670233946994268
moderate,1,operational,24,2,-0.12256412090445146,-0.12256496464325917
moderate,1,operational,25,3,0.0372993382137814,0.03532048702519308
moderate,1,operational,26,3,0.05350991201797495,0.05270355773565072
moderate,1,operational,27,4,0.15685051224833924,0.15406710386536515
moderate,1,operational,28,3,-0.1338498528558394,-0.13285333244743391
moderate,1,operational,29,4,0.021046716620992,0.019776606258416596
moderate,1,operational,30,4,-0.037483832689768626,-0.035441758940378154
moderate,1,operational,31,5,0.10586285914894678,0.10404371365131526
moderate,1,operational,32,1,0.13981876387456893,0.13981876387456893
moderate,1,operational,33,2,0.07322614209198486,0.07250573272715588
moderate,1,operational,34,2,0.31068936454214713,0.31132454689554256
moderate,1,operational,35,3,0.22854190359021143,0.22860214116583677
moderate,1,operational,36,2,-0.13799935884761982,-0.13799935884761982
moderate,1,operational,37,3,0.015086162861227326,0.013159164368492071
moderate,1,operational,38,3,0.0780441668961549,0.07963012468661645
moderate,1,operational,39,4,0.17053605590467313,0.17038285668009
moderate,1,operational,40,2,0.1152556743989459,0.11525567439894635
moderate,1,operational,41,3,0.14184458321929494,0.1417933322259195
moderate,1,operational,42,3,0.29933288262242974,0.3007299472180973
moderate,1,operational,43,4,0.29048412484981423,0.2899874512246492
moderate,1,operational,44,3,-0.10257587443968408,-0.10257587443968408
moderate,1,operational,45,4,0.023820025227868413,0.02299067872906102
moderate,1,operational,46,4,0.09726307692021585,0.09831190793491906
moderate,1,operational,47,5,0.17775428205898613,0.17801680438343492
moderate,1,operational,48,2,-0.0886949677373865,-0.0887710885440427
moderate,1,operational,49,3,0.10887117127770951,0.10590286333735488
moderate,1,operational,50,3,0.06116534603665791,0.06015310481894964
moderate,1,operational,51,4,0.19675603858562818,0.19290596432395368
moderate,1,operational,52,3,-0.04316855711285417,-0.043748983750344195
moderate,1,operational,53,4,0.1019707087310402,0.09953157520838118
moderate,1,operational,54,4,0.018095073211704893,0.01820872266545015
moderate,1,operational,55,5,0.1623550414912147,0.1588892175078933
moderate,1,operational,56,3,-0.0014488534476240211,-0.0014488534476240211
moderate,1,operational,57,4,0.10258976261557473,0.09954859229709179
moderate,1,operational,58,4,0.12787960139288046,0.12598802047543645
moderate,1,operational,59,5,0.20335387252170634,0.20146523229779945
moderate,1,operational,60,4,-0.07901530129662948,-0.07814525307313192
moderate,1,operational,61,5,0.06719811611366833,0.06537524648452475
