surface,replicate,seed,method,target,estimate,released,lower,upper,data_access,truth,absolute_error,covered
constant,98,283329101,unit_ridge_t_learner,1,2.486016178022333,True,,,source_individuals,2.0,0.4860161780223331,
constant,98,283329101,atlas,2,2.3340759089016907,False,-1.0323478755151516,5.700499693318533,archive_summaries,2.0,0.3340759089016907,True
constant,98,283329101,atlas_no_rejection,2,2.3340759089016907,True,-0.4275860318283069,5.095737849631688,archive_summaries,2.0,0.3340759089016907,True
constant,98,283329101,semantic_forced,2,2.186397136315256,True,0.9440590832841522,3.4287351893463596,archive_summaries,2.0,0.1863971363152559,True
constant,98,283329101,ivw_meta,2,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,2,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,2,1.4619981579137074,True,,,archive_summaries,2.0,0.5380018420862926,
constant,98,283329101,ridge_meta_regression,2,1.8797530657940327,True,,,archive_summaries,2.0,0.12024693420596733,
constant,98,283329101,rbf_kernel_ridge,2,1.9048226923891558,True,,,archive_summaries,2.0,0.0951773076108442,
constant,98,283329101,unit_ridge_t_learner,2,2.025267129008829,True,,,source_individuals,2.0,0.02526712900882888,
constant,98,283329101,atlas,3,2.014544011660987,True,0.3822068503345428,3.6468811729874315,archive_summaries,2.0,0.014544011660987177,True
constant,98,283329101,atlas_no_rejection,3,2.014544011660987,True,0.582544093436111,3.4465439298858636,archive_summaries,2.0,0.014544011660987177,True
constant,98,283329101,semantic_forced,3,2.113682733293627,True,1.1309646764226833,3.0964007901645707,archive_summaries,2.0,0.11368273329362699,True
constant,98,283329101,ivw_meta,3,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,3,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,3,2.0618874609474465,True,,,archive_summaries,2.0,0.06188746094744646,
constant,98,283329101,ridge_meta_regression,3,1.9456017018680936,True,,,archive_summaries,2.0,0.05439829813190644,
constant,98,283329101,rbf_kernel_ridge,3,2.0476388302644146,True,,,archive_summaries,2.0,0.04763883026441462,
constant,98,283329101,unit_ridge_t_learner,3,2.1283489222607908,True,,,source_individuals,2.0,0.12834892226079075,
constant,98,283329101,atlas,4,2.5131973526463613,True,0.6163235204319162,4.410071184860806,archive_summaries,2.0,0.5131973526463613,True
constant,98,283329101,atlas_no_rejection,4,2.5131973526463613,True,0.8857869544325334,4.140607750860189,archive_summaries,2.0,0.5131973526463613,True
constant,98,283329101,semantic_forced,4,2.238206380996689,True,1.1096709704589187,3.3667417915344586,archive_summaries,2.0,0.23820638099668878,True
constant,98,283329101,ivw_meta,4,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,4,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,4,2.4070024384518076,True,,,archive_summaries,2.0,0.4070024384518076,
constant,98,283329101,ridge_meta_regression,4,2.1149862929512167,True,,,archive_summaries,2.0,0.11498629295121665,
constant,98,283329101,rbf_kernel_ridge,4,2.2899897781917424,True,,,archive_summaries,2.0,0.28998977819174243,
constant,98,283329101,unit_ridge_t_learner,4,2.6894962110709137,True,,,source_individuals,2.0,0.6894962110709137,
constant,98,283329101,atlas,5,2.669682880569721,True,0.5366611960224392,4.802704565117002,archive_summaries,2.0,0.669682880569721,True
constant,98,283329101,atlas_no_rejection,5,2.669682880569721,True,0.7688290122625414,4.570536748876901,archive_summaries,2.0,0.669682880569721,True
constant,98,283329101,semantic_forced,5,2.3352635480031676,True,1.1139670949437255,3.5565600010626097,archive_summaries,2.0,0.3352635480031676,True
constant,98,283329101,ivw_meta,5,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,5,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,5,3.541787063827876,True,,,archive_summaries,2.0,1.5417870638278761,
constant,98,283329101,ridge_meta_regression,5,2.4483195611565196,True,,,archive_summaries,2.0,0.4483195611565196,
constant,98,283329101,rbf_kernel_ridge,5,2.729049919325449,True,,,archive_summaries,2.0,0.7290499193254489,
constant,98,283329101,unit_ridge_t_learner,5,2.3710500354557196,True,,,source_individuals,2.0,0.3710500354557196,
constant,99,3028964827,atlas,0,2.8017387599904837,True,0.6009890138645697,5.002488506116398,archive_summaries,2.0,0.8017387599904837,True
constant,99,3028964827,atlas_no_rejection,0,2.8017387599904837,True,0.9466708536396728,4.656806666341295,archive_summaries,2.0,0.8017387599904837,True
constant,99,3028964827,semantic_forced,0,2.7758922345369683,True,1.5722494682782875,3.979535000795649,archive_summaries,2.0,0.7758922345369683,True
constant,99,3028964827,ivw_meta,0,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,random_effects_meta,0,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,full_nearest,0,2.2992763221887804,True,,,archive_summaries,2.0,0.2992763221887804,
constant,99,3028964827,ridge_meta_regression,0,2.7299164886884433,True,,,archive_summaries,2.0,0.7299164886884433,
constant,99,3028964827,rbf_kernel_ridge,0,2.7103921647432916,True,,,archive_summaries,2.0,0.7103921647432916,
constant,99,3028964827,unit_ridge_t_learner,0,2.0903893087998173,True,,,source_individuals,2.0,0.09038930879981733,
constant,99,3028964827,atlas,1,2.908505029911719,True,1.2019983903383613,4.615011669485077,archive_summaries,2.0,0.9085050299117192,True
constant,99,3028964827,atlas_no_rejection,1,2.908505029911719,True,1.4121112901755932,4.404898769647845,archive_summaries,2.0,0.9085050299117192,True
constant,99,3028964827,semantic_forced,1,2.874880225915144,True,1.8095944697026412,3.940165982127647,archive_summaries,2.0,0.874880225915144,True
constant,99,3028964827,ivw_meta,1,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,random_effects_meta,1,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,full_nearest,1,2.9841361084430806,True,,,archive_summaries,2.0,0.9841361084430806,
constant,99,3028964827,ridge_meta_regression,1,2.8408087369700827,True,,,archive_summaries,2.0,0.8408087369700827,
constant,99,3028964827,rbf_kernel_ridge,1,2.8156861694152426,True,,,archive_summaries,2.0,0.8156861694152426,
constant,99,3028964827,unit_ridge_t_learner,1,2.7047809890222787,True,,,source_individuals,2.0,0.7047809890222787,
constant,99,3028964827,atlas,2,2.355305837376677,True,0.20927921908061542,4.501332455672738,archive_summaries,2.0,0.35530583737667687,True
constant,99,3028964827,atlas_no_rejection,2,2.355305837376677,True,0.48721515958733796,4.223396515166016,archive_summaries,2.0,0.35530583737667687,True
constant,99,3028964827,semantic_forced,2,2.7748873738226654,True,1.5296929379746618,4.020081809670669,archive_summaries,2.0,0.7748873738226654,True
constant,99,3028964827,ivw_meta,2,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,random_effects_meta,2,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,full_nearest,2,2.3785264296116244,True,,,archive_summaries,2.0,0.3785264296116244,
constant,99,3028964827,ridge_meta_regression,2,2.381181570643423,True,,,archive_summaries,2.0,0.38118157064342295,
constant,99,3028964827,rbf_kernel_ridge,2,2.359424632823576,True,,,archive_summaries,2.0,0.35942463282357595,
constant,99,3028964827,unit_ridge_t_learner,2,2.1297355742452138,True,,,source_individuals,2.0,0.12973557424521376,
constant,99,3028964827,atlas,3,3.0042469985232554,True,1.2712075677032804,4.73728642934323,archive_summaries,2.0,1.0042469985232554,True
constant,99,3028964827,atlas_no_rejection,3,3.0042469985232554,True,1.4728738390416183,4.5356201580048925,archive_summaries,2.0,1.0042469985232554,True
constant,99,3028964827,semantic_forced,3,2.878798655537533,True,1.849294319568757,3.908302991506309,archive_summaries,2.0,0.8787986555375329,True
constant,99,3028964827,ivw_meta,3,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,random_effects_meta,3,2.789363849164386,True,,,archive_summaries,2.0,0.7893638491643862,
constant,99,3028964827,full_nearest,3,3.036011917580918,True,,,archive_summaries,2.0,1.0360119175809182,
constant,99,3028964827,ridge_meta_regression,3,2.9812539949267083,True,,,archive_summaries,2.0,0.9812539949267083,
