scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
moderate,3,operational,1,2048,128,True,assumption_failed,-2.9354273007825142,False,32,0.0053153062431188225,1.3626247950780068,1.3626247950780068,,,
moderate,3,operational,2,2048,128,True,assumption_failed,-2.9354273007825142,False,32,0.0053153062431188225,1.8524753512307677,1.8524753512307677,,,
moderate,3,operational,3,2048,128,True,assumption_failed,-2.9354273007825142,False,32,0.0053153062431188225,1.8524753512307677,1.8524753512274437,,,
moderate,3,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.003441797622467657,1.230052258014271,1.230052258014271,0.7706577254793748,True,False
moderate,3,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.003441797622467657,1.4700015696558166,1.4700015696558166,0.9154510231998211,True,False
moderate,3,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.003441797622467657,1.4700015696558166,1.4700015696558166,0.9085674279548858,True,False
moderate,4,operational,1,2048,128,True,assumption_failed,0.44540448282825246,False,63,0.0040280859621657505,0.32163465521065504,0.32163465521065504,,,
moderate,4,operational,2,2048,128,True,assumption_failed,0.44540448282825246,False,63,0.0040280859621657505,0.43170258103897696,0.43170258103897696,,,
moderate,4,operational,3,2048,128,True,assumption_failed,0.44540448282825246,False,63,0.0040280859621657505,0.49290573589799,0.49290573589799,,,
moderate,4,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.0029323957107720844,0.03200215775684345,0.03200215775684345,0.014364430423431374,True,False
moderate,4,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.0029323957107720844,0.051771243629562314,0.051771243629562314,0.020996084611279997,True,False
moderate,4,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.0029323957107720844,0.051771243629562314,0.051771243629562314,0.015131293189735828,True,False
moderate,5,operational,1,2048,128,True,assumption_failed,0.17552566189804505,False,22,0.016100348418227384,2.4438598863505323,2.4438598863505323,,,
moderate,5,operational,2,2048,128,True,assumption_failed,0.17552566189804505,False,22,0.016100348418227384,2.8791814486544074,2.8791814486544074,,,
moderate,5,operational,3,2048,128,True,assumption_failed,0.17552566189804505,False,22,0.016100348418227384,2.8791814490209315,2.8791814490209315,,,
moderate,5,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.014993779481781822,2.3356956160039575,2.3356956160039575,1.4464536590782702,True,False
moderate,5,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.014993779481781822,2.753841590320184,2.753841590320184,1.6807847670713914,True,False
moderate,5,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.014993779481781822,2.753841590320184,2.753841590320184,1.6507972081078277,True,False
moderate,6,operational,1,2048,128,True,assumption_failed,-14.602967282362595,False,28,0.011539706504240854,0.6114535055966877,0.6114535055966877,,,
moderate,6,operational,2,2048,128,True,assumption_failed,-14.602967282362595,False,28,0.011539706504240854,0.8178561744025976,0.8178561744025976,,,
moderate,6,operational,3,2048,128,True,assumption_failed,-14.602967282362595,False,28,0.011539706504240854,0.8416308142752835,0.8416308142752835,,,
moderate,6,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.009141448619348846,0.3642727183642207,0.3642727183642207,0.2119813770596913,True,False
moderate,6,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.009141448619348846,0.541814733583518,0.541814733583518,0.3059264376969641,True,False
moderate,6,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.009141448619348846,0.541814733583518,0.541814733583518,0.2876435404582664,True,False
moderate,7,operational,1,2048,128,True,assumption_failed,-0.7870285392664506,False,40,0.010635180776489062,1.5589127180688087,1.5589127180688087,,,
moderate,7,operational,2,2048,128,True,assumption_failed,-0.7870285392664506,False,40,0.010635180776489062,1.753679748974399,1.753679748974399,,,
